scenario,model,product,location,period,internal,external,inventory,max_inventory_violation,ontime_Strategic,unserved_Strategic,ontime_Standard,unserved_Standard,ontime_Spot,unserved_Spot
Non-delivery penalty 200%,B_notional_only,P1,L1,3,70.0,40.0,0.0,0.0,40.0,0.0,40.0,0.0,30.0,0.0
Non-delivery penalty 200%,C_governed_hybrid,P1,L1,1,80.0,10.0,0.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
Non-delivery penalty 200%,C_governed_hybrid,P1,L1,2,80.0,40.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
Non-delivery penalty 200%,C_governed_hybrid,P1,L1,3,80.0,30.0,0.0,0.0,40.0,0.0,40.0,0.0,30.0,0.0
External capacity tight,A_transactional_only,P1,L1,1,40.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,0.0,20.0
External capacity tight,A_transactional_only,P1,L1,2,50.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,0.0,30.0
External capacity tight,A_transactional_only,P1,L1,3,40.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,30.0
External capacity tight,B_notional_only,P1,L1,1,80.0,20.0,20.0,0.0,60.0,0.0,30.0,0.0,10.0,10.0
External capacity tight,B_notional_only,P1,L1,2,80.0,20.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
External capacity tight,B_notional_only,P1,L1,3,80.0,20.0,0.0,0.0,40.0,0.0,40.0,0.0,20.0,10.0
External capacity tight,C_governed_hybrid,P1,L1,1,80.0,20.0,10.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
External capacity tight,C_governed_hybrid,P1,L1,2,80.0,20.0,0.0,0.0,50.0,0.0,40.0,0.0,20.0,10.0
External capacity tight,C_governed_hybrid,P1,L1,3,80.0,20.0,0.0,0.0,40.0,0.0,40.0,0.0,20.0,10.0
External capacity expanded,A_transactional_only,P1,L1,1,40.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,0.0,20.0
External capacity expanded,A_transactional_only,P1,L1,2,50.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,0.0,30.0
External capacity expanded,A_transactional_only,P1,L1,3,40.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,30.0
External capacity expanded,B_notional_only,P1,L1,1,60.0,30.0,0.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
External capacity expanded,B_notional_only,P1,L1,2,60.0,60.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
External capacity expanded,B_notional_only,P1,L1,3,60.0,50.0,0.0,0.0,40.0,0.0,40.0,0.0,30.0,0.0
External capacity expanded,C_governed_hybrid,P1,L1,1,80.0,10.0,0.0,0.0,60.0,0.0,30.0,0.0,20.0,0.0
External capacity expanded,C_governed_hybrid,P1,L1,2,80.0,40.0,0.0,0.0,50.0,0.0,40.0,0.0,30.0,0.0
External capacity expanded,C_governed_hybrid,P1,L1,3,80.0,30.0,0.0,0.0,40.0,0.0,40.0,0.0,30.0,0.0
Demand -10%,A_transactional_only,P1,L1,1,34.0,0.0,0.0,0.0,54.0,0.0,0.0,27.0,0.0,18.0
Demand -10%,A_transactional_only,P1,L1,2,45.0,0.0,0.0,0.0,45.0,0.0,0.0,36.0,0.0,27.0
Demand -10%,A_transactional_only,P1,L1,3,36.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,27.0
Demand -10%,B_notional_only,P1,L1,1,60.0,19.0,0.0,0.0,54.0,0.0,27.0,0.0,18.0,0.0
Demand -10%,B_notional_only,P1,L1,2,68.0,40.0,0.0,0.0,45.0,0.0,36.0,0.0,27.0,0.0
Demand -10%,B_notional_only,P1,L1,3,60.0,39.0,0.0,0.0,36.0,0.0,36.0,0.0,27.0,0.0
Demand -10%,C_governed_hybrid,P1,L1,1,80.0,0.0,1.0,0.0,54.0,0.0,27.0,0.0,18.0,0.0
Demand -10%,C_governed_hybrid,P1,L1,2,80.0,27.0,0.0,0.0,45.0,0.0,36.0,0.0,27.0,0.0
Demand -10%,C_governed_hybrid,P1,L1,3,80.0,19.0,0.0,0.0,36.0,0.0,36.0,0.0,27.0,0.0
Demand +10%,A_transactional_only,P1,L1,1,46.0,0.0,0.0,0.0,66.0,0.0,0.0,33.0,0.0,22.0
Demand +10%,A_transactional_only,P1,L1,2,55.0,0.0,0.0,0.0,55.0,0.0,0.0,44.0,0.0,33.0
Demand +10%,A_transactional_only,P1,L1,3,44.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,33.0
Demand +10%,B_notional_only,P1,L1,1,74.0,40.0,13.0,0.0,66.0,0.0,33.0,0.0,22.0,0.0
Demand +10%,B_notional_only,P1,L1,2,80.0,40.0,1.0,0.0,55.0,0.0,44.0,0.0,33.0,0.0
Demand +10%,B_notional_only,P1,L1,3,80.0,40.0,0.0,0.0,44.0,0.0,44.0,0.0,33.0,0.0
Demand +10%,C_governed_hybrid,P1,L1,1,80.0,34.0,13.0,0.0,66.0,0.0,33.0,0.0,22.0,0.0
Demand +10%,C_governed_hybrid,P1,L1,2,80.0,40.0,1.0,0.0,55.0,0.0,44.0,0.0,33.0,0.0
Demand +10%,C_governed_hybrid,P1,L1,3,80.0,40.0,0.0,0.0,44.0,0.0,44.0,0.0,33.0,0.0
Scaled stress test,A_transactional_only,P01,L01,1,0.0,0.0,0.0,0.0,24.0,0.0,5.0,11.0,0.0,10.0
Scaled stress test,A_transactional_only,P01,L01,2,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,11.0
Scaled stress test,A_transactional_only,P01,L01,3,30.0,0.0,0.0,0.0,30.0,0.0,0.0,24.0,0.0,15.0
Scaled stress test,A_transactional_only,P01,L01,4,14.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L01,5,22.0,0.0,0.0,0.0,22.0,0.0,0.0,15.0,0.0,15.0
Scaled stress test,A_transactional_only,P01,L01,6,25.0,0.0,0.0,0.0,25.0,0.0,0.0,20.0,0.0,6.0
Scaled stress test,A_transactional_only,P01,L01,7,17.0,0.0,0.0,0.0,17.0,0.0,0.0,16.0,0.0,19.0
Scaled stress test,A_transactional_only,P01,L01,8,24.0,0.0,0.0,0.0,24.0,0.0,0.0,15.0,0.0,19.0
Scaled stress test,A_transactional_only,P01,L01,9,14.0,0.0,0.0,0.0,14.0,0.0,0.0,24.0,0.0,15.0
Scaled stress test,A_transactional_only,P01,L01,10,16.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L01,11,20.0,0.0,0.0,0.0,20.0,0.0,0.0,24.0,0.0,9.0
Scaled stress test,A_transactional_only,P01,L01,12,24.0,0.0,0.0,0.0,24.0,0.0,0.0,11.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L02,1,12.0,0.0,0.0,0.0,19.0,0.0,0.0,14.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L02,2,18.0,0.0,0.0,0.0,18.0,0.0,0.0,23.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L02,3,29.0,0.0,0.0,0.0,29.0,0.0,0.0,20.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L02,4,18.0,0.0,0.0,0.0,18.0,0.0,0.0,9.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L02,5,17.0,0.0,0.0,0.0,17.0,0.0,0.0,25.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L02,6,20.0,0.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L02,7,20.0,0.0,0.0,0.0,20.0,0.0,0.0,18.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L02,8,24.0,0.0,0.0,0.0,24.0,0.0,0.0,17.0,0.0,17.0
Scaled stress test,A_transactional_only,P01,L02,9,18.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,15.0
Scaled stress test,A_transactional_only,P01,L02,10,28.0,0.0,0.0,0.0,28.0,0.0,0.0,25.0,0.0,17.0
Scaled stress test,A_transactional_only,P01,L02,11,30.0,0.0,0.0,0.0,30.0,0.0,0.0,13.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L02,12,30.0,0.0,0.0,0.0,30.0,0.0,0.0,9.0,0.0,18.0
Scaled stress test,A_transactional_only,P01,L03,1,9.0,0.0,0.0,0.0,18.0,0.0,0.0,24.0,0.0,7.0
Scaled stress test,A_transactional_only,P01,L03,2,15.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L03,3,29.0,0.0,0.0,0.0,29.0,0.0,0.0,12.0,0.0,5.0
Scaled stress test,A_transactional_only,P01,L03,4,20.0,0.0,0.0,0.0,20.0,0.0,0.0,17.0,0.0,5.0
Scaled stress test,A_transactional_only,P01,L03,5,17.0,0.0,0.0,0.0,17.0,0.0,0.0,25.0,0.0,18.0
Scaled stress test,A_transactional_only,P01,L03,6,14.0,0.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,18.0
Scaled stress test,A_transactional_only,P01,L03,7,30.0,0.0,0.0,0.0,30.0,0.0,0.0,25.0,0.0,10.0
Scaled stress test,A_transactional_only,P01,L03,8,22.0,0.0,0.0,0.0,22.0,0.0,0.0,23.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L03,9,29.0,0.0,0.0,0.0,29.0,0.0,0.0,25.0,0.0,11.0
Scaled stress test,A_transactional_only,P01,L03,10,30.0,0.0,0.0,0.0,30.0,0.0,0.0,17.0,0.0,10.0
Scaled stress test,A_transactional_only,P01,L03,11,28.0,0.0,0.0,0.0,28.0,0.0,0.0,13.0,0.0,17.0
Scaled stress test,A_transactional_only,P01,L03,12,26.0,0.0,0.0,0.0,26.0,0.0,0.0,23.0,0.0,14.0
Scaled stress test,A_transactional_only,P01,L04,1,24.0,0.0,0.0,0.0,23.0,0.0,12.0,0.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L04,2,38.0,0.0,0.0,0.0,25.0,0.0,13.0,0.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L04,3,41.0,0.0,0.0,0.0,18.0,0.0,23.0,0.0,0.0,11.0
Scaled stress test,A_transactional_only,P01,L04,4,38.0,0.0,0.0,0.0,17.0,0.0,21.0,0.0,0.0,19.0
Scaled stress test,A_transactional_only,P01,L04,5,35.0,0.0,0.0,0.0,21.0,0.0,14.0,0.0,0.0,17.0
Scaled stress test,A_transactional_only,P01,L04,6,45.0,0.0,0.0,0.0,26.0,0.0,19.0,0.0,0.0,17.0
Scaled stress test,A_transactional_only,P01,L04,7,44.0,0.0,0.0,0.0,25.0,0.0,19.0,0.0,0.0,6.0
Scaled stress test,A_transactional_only,P01,L04,8,34.0,0.0,0.0,0.0,25.0,0.0,9.0,0.0,0.0,14.0
Scaled stress test,A_transactional_only,P01,L04,9,51.0,0.0,0.0,0.0,28.0,0.0,23.0,0.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L04,10,49.0,0.0,0.0,0.0,24.0,0.0,25.0,0.0,0.0,13.0
Scaled stress test,A_transactional_only,P01,L04,11,28.0,0.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,11.0
Scaled stress test,A_transactional_only,P01,L04,12,28.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L05,1,8.0,0.0,0.0,0.0,18.0,0.0,0.0,22.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L05,2,18.0,0.0,0.0,0.0,18.0,0.0,0.0,25.0,0.0,19.0
Scaled stress test,A_transactional_only,P01,L05,3,24.0,0.0,0.0,0.0,24.0,0.0,0.0,11.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L05,4,19.0,0.0,0.0,0.0,19.0,0.0,0.0,22.0,0.0,6.0
Scaled stress test,A_transactional_only,P01,L05,5,14.0,0.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L05,6,21.0,0.0,0.0,0.0,21.0,0.0,0.0,11.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L05,7,17.0,0.0,0.0,0.0,17.0,0.0,0.0,23.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L05,8,27.0,0.0,0.0,0.0,27.0,0.0,0.0,17.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L05,9,30.0,0.0,0.0,0.0,30.0,0.0,0.0,16.0,0.0,7.0
Scaled stress test,A_transactional_only,P01,L05,10,22.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,9.0
Scaled stress test,A_transactional_only,P01,L05,11,23.0,0.0,0.0,0.0,23.0,0.0,0.0,18.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L05,12,20.0,0.0,0.0,0.0,20.0,0.0,0.0,18.0,0.0,18.0
Scaled stress test,A_transactional_only,P01,L06,1,0.0,0.0,8.0,0.0,22.0,0.0,0.0,10.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L06,2,22.0,0.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L06,3,21.0,0.0,0.0,0.0,21.0,0.0,0.0,23.0,0.0,7.0
Scaled stress test,A_transactional_only,P01,L06,4,27.0,0.0,0.0,0.0,27.0,0.0,0.0,24.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L06,5,23.0,0.0,0.0,0.0,23.0,0.0,0.0,15.0,0.0,11.0
Scaled stress test,A_transactional_only,P01,L06,6,20.0,0.0,0.0,0.0,20.0,0.0,0.0,13.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L06,7,15.0,0.0,0.0,0.0,15.0,0.0,0.0,13.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L06,8,22.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,9.0
Scaled stress test,A_transactional_only,P01,L06,9,16.0,0.0,0.0,0.0,16.0,0.0,0.0,21.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L06,10,23.0,0.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,13.0
Scaled stress test,A_transactional_only,P01,L06,11,28.0,0.0,0.0,0.0,28.0,0.0,0.0,14.0,0.0,9.0
Scaled stress test,A_transactional_only,P01,L06,12,28.0,0.0,0.0,0.0,28.0,0.0,0.0,9.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L07,1,0.0,0.0,0.0,0.0,21.0,0.0,1.0,9.0,0.0,13.0
Scaled stress test,A_transactional_only,P01,L07,2,25.0,0.0,0.0,0.0,25.0,0.0,0.0,14.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L07,3,26.0,0.0,0.0,0.0,26.0,0.0,0.0,11.0,0.0,19.0
Scaled stress test,A_transactional_only,P01,L07,4,30.0,0.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,11.0
Scaled stress test,A_transactional_only,P01,L07,5,14.0,0.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L07,6,16.0,0.0,0.0,0.0,16.0,0.0,0.0,13.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L07,7,15.0,0.0,0.0,0.0,15.0,0.0,0.0,21.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L07,8,23.0,0.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,6.0
Scaled stress test,A_transactional_only,P01,L07,9,30.0,0.0,0.0,0.0,30.0,0.0,0.0,13.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L07,10,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L07,11,18.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L07,12,27.0,0.0,0.0,0.0,27.0,0.0,0.0,25.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L08,1,0.0,0.0,9.0,0.0,21.0,0.0,0.0,11.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L08,2,9.0,0.0,0.0,0.0,18.0,0.0,0.0,20.0,0.0,7.0
Scaled stress test,A_transactional_only,P01,L08,3,28.0,0.0,0.0,0.0,28.0,0.0,0.0,10.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L08,4,21.0,0.0,0.0,0.0,21.0,0.0,0.0,24.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L08,5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,11.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L08,6,16.0,0.0,0.0,0.0,16.0,0.0,0.0,25.0,0.0,6.0
Scaled stress test,A_transactional_only,P01,L08,7,29.0,0.0,0.0,0.0,29.0,0.0,0.0,17.0,0.0,6.0
Scaled stress test,A_transactional_only,P01,L08,8,22.0,0.0,0.0,0.0,22.0,0.0,0.0,16.0,0.0,10.0
Scaled stress test,A_transactional_only,P01,L08,9,28.0,0.0,0.0,0.0,28.0,0.0,0.0,24.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L08,10,29.0,0.0,0.0,0.0,29.0,0.0,0.0,18.0,0.0,5.0
Scaled stress test,A_transactional_only,P01,L08,11,20.0,0.0,0.0,0.0,20.0,0.0,0.0,11.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L08,12,22.0,0.0,0.0,0.0,22.0,0.0,0.0,18.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L09,1,19.0,0.0,0.0,0.0,17.0,0.0,15.0,0.0,0.0,19.0
Scaled stress test,A_transactional_only,P01,L09,2,48.0,0.0,0.0,0.0,30.0,0.0,18.0,0.0,0.0,18.0
Scaled stress test,A_transactional_only,P01,L09,3,40.0,0.0,0.0,0.0,28.0,0.0,12.0,0.0,0.0,10.0
Scaled stress test,A_transactional_only,P01,L09,4,40.0,0.0,0.0,0.0,16.0,0.0,24.0,0.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L09,5,39.0,0.0,0.0,0.0,28.0,0.0,11.0,0.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L09,6,43.0,0.0,0.0,0.0,22.0,0.0,21.0,0.0,0.0,10.0
Scaled stress test,A_transactional_only,P01,L09,7,31.0,0.0,0.0,0.0,20.0,0.0,11.0,0.0,0.0,6.0
Scaled stress test,A_transactional_only,P01,L09,8,47.0,0.0,0.0,0.0,30.0,0.0,17.0,0.0,0.0,15.0
Scaled stress test,A_transactional_only,P01,L09,9,47.0,0.0,0.0,0.0,30.0,0.0,17.0,0.0,0.0,7.0
Scaled stress test,A_transactional_only,P01,L09,10,41.0,0.0,0.0,0.0,25.0,0.0,16.0,0.0,0.0,19.0
Scaled stress test,A_transactional_only,P01,L09,11,50.0,0.0,0.0,0.0,29.0,0.0,21.0,0.0,0.0,4.0
Scaled stress test,A_transactional_only,P01,L09,12,38.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,0.0,18.0
Scaled stress test,A_transactional_only,P01,L10,1,8.0,0.0,0.0,0.0,26.0,0.0,0.0,19.0,0.0,7.0
Scaled stress test,A_transactional_only,P01,L10,2,24.0,0.0,0.0,0.0,24.0,0.0,0.0,9.0,0.0,14.0
Scaled stress test,A_transactional_only,P01,L10,3,24.0,0.0,0.0,0.0,24.0,0.0,0.0,21.0,0.0,7.0
Scaled stress test,A_transactional_only,P01,L10,4,20.0,0.0,0.0,0.0,20.0,0.0,0.0,9.0,0.0,13.0
Scaled stress test,A_transactional_only,P01,L10,5,25.0,0.0,0.0,0.0,25.0,0.0,0.0,11.0,0.0,16.0
Scaled stress test,A_transactional_only,P01,L10,6,16.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,17.0
Scaled stress test,A_transactional_only,P01,L10,7,22.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,12.0
Scaled stress test,A_transactional_only,P01,L10,8,15.0,0.0,0.0,0.0,15.0,0.0,0.0,18.0,0.0,8.0
Scaled stress test,A_transactional_only,P01,L10,9,22.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,20.0
Scaled stress test,A_transactional_only,P01,L10,10,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,17.0
Scaled stress test,A_transactional_only,P01,L10,11,14.0,0.0,0.0,0.0,14.0,0.0,0.0,21.0,0.0,10.0
Scaled stress test,A_transactional_only,P01,L10,12,16.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,17.0
Scaled stress test,A_transactional_only,P02,L01,1,1.0,0.0,0.0,0.0,15.0,0.0,0.0,13.0,0.0,9.0
Scaled stress test,A_transactional_only,P02,L01,2,27.0,0.0,0.0,0.0,27.0,0.0,0.0,19.0,0.0,13.0
Scaled stress test,A_transactional_only,P02,L01,3,22.0,0.0,0.0,0.0,22.0,0.0,0.0,17.0,0.0,16.0
Scaled stress test,A_transactional_only,P02,L01,4,21.0,0.0,0.0,0.0,21.0,0.0,0.0,18.0,0.0,19.0
Scaled stress test,A_transactional_only,P02,L01,5,26.0,0.0,0.0,0.0,26.0,0.0,0.0,12.0,0.0,9.0
Scaled stress test,A_transactional_only,P02,L01,6,19.0,0.0,0.0,0.0,19.0,0.0,0.0,11.0,0.0,10.0
Scaled stress test,A_transactional_only,P02,L01,7,29.0,0.0,0.0,0.0,29.0,0.0,0.0,16.0,0.0,18.0
Scaled stress test,A_transactional_only,P02,L01,8,24.0,0.0,0.0,0.0,24.0,0.0,0.0,23.0,0.0,17.0
Scaled stress test,A_transactional_only,P02,L01,9,20.0,0.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0,6.0
Scaled stress test,A_transactional_only,P02,L01,10,24.0,0.0,0.0,0.0,24.0,0.0,0.0,11.0,0.0,14.0
Scaled stress test,A_transactional_only,P02,L01,11,25.0,0.0,0.0,0.0,25.0,0.0,0.0,17.0,0.0,10.0
Scaled stress test,A_transactional_only,P02,L01,12,14.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,0.0,16.0
Scaled stress test,A_transactional_only,P02,L02,1,2.0,0.0,0.0,0.0,15.0,0.0,0.0,24.0,0.0,12.0
Scaled stress test,A_transactional_only,P02,L02,2,25.0,0.0,0.0,0.0,25.0,0.0,0.0,13.0,0.0,20.0
Scaled stress test,A_transactional_only,P02,L02,3,20.0,0.0,0.0,0.0,20.0,0.0,0.0,11.0,0.0,12.0
Scaled stress test,A_transactional_only,P02,L02,4,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,16.0
Scaled stress test,A_transactional_only,P02,L02,5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,22.0,0.0,13.0
Scaled stress test,A_transactional_only,P02,L02,6,14.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0,0.0,5.0
Scaled stress test,A_transactional_only,P02,L02,7,29.0,0.0,0.0,0.0,29.0,0.0,0.0,24.0,0.0,4.0
Scaled stress test,A_transactional_only,P02,L02,8,26.0,0.0,0.0,0.0,26.0,0.0,0.0,25.0,0.0,18.0
Scaled stress test,A_transactional_only,P02,L02,9,21.0,0.0,0.0,0.0,21.0,0.0,0.0,12.0,0.0,11.0
Scaled stress test,A_transactional_only,P02,L02,10,18.0,0.0,0.0,0.0,18.0,0.0,0.0,25.0,0.0,7.0
Scaled stress test,A_transactional_only,P02,L02,11,28.0,0.0,0.0,0.0,28.0,0.0,0.0,11.0,0.0,5.0
Scaled stress test,A_transactional_only,P02,L02,12,18.0,0.0,0.0,0.0,18.0,0.0,0.0,16.0,0.0,5.0
Scaled stress test,A_transactional_only,P02,L03,1,5.0,0.0,0.0,0.0,30.0,0.0,0.0,22.0,0.0,7.0
Scaled stress test,A_transactional_only,P02,L03,2,16.0,0.0,0.0,0.0,16.0,0.0,0.0,18.0,0.0,20.0
Scaled stress test,A_transactional_only,P02,L03,3,20.0,0.0,0.0,0.0,20.0,0.0,0.0,21.0,0.0,12.0
Scaled stress test,A_transactional_only,P02,L03,4,14.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,13.0
Scaled stress test,A_transactional_only,P02,L03,5,22.0,0.0,0.0,0.0,22.0,0.0,0.0,19.0,0.0,11.0
Scaled stress test,A_transactional_only,P02,L03,6,30.0,0.0,0.0,0.0,30.0,0.0,0.0,16.0,0.0,11.0
Scaled stress test,A_transactional_only,P02,L03,7,27.0,0.0,0.0,0.0,27.0,0.0,0.0,18.0,0.0,5.0
Scaled stress test,A_transactional_only,P02,L03,8,20.0,0.0,0.0,0.0,20.0,0.0,0.0,24.0,0.0,17.0
